,Created At,Likes,Location,Name,Retweet,Tweet,Tweet_cleaned,_id,id,party,hashtags
0,2019-03-28 09:38:37,0,banka,sudhanshu kumar das,0,"RT @theskindoctor13: @ANI Shatrughan Sinha ke Congress me aane se jitna Congressi khush hain, usse hazaar guna khush iske BJP se jaane me B…",ANI Shatrughan Sinha ke Congress me aane se jitna Congressi khush hain usse hazaar guna khush iske BJP se jaane me B,5c9c96235c284c72c0f92f17,1111200911781564416,bjp,[]
1,2019-03-28 09:38:37,0,"Lucknow, India",Ayush Sfi,0,"RT @YsakMv: CPI(M) Manifesto  2019 Release.  Main Slogans  : Defeat BJP Alliance
Increase Strength of the CPI(M) &amp; Left
Ensure Secular Govt…",CPI M Manifesto 2019 Release Main Slogans Defeat BJP Alliance Increase Strength of the CPI M amp Left Ensure Secular Govt,5c9c96245c284c72c0f92f18,1111200912255537152,bjp,[]
2,2019-03-28 09:38:37,0,"New Delhi, India",godi_media,0,RT @AisiTaisiDemo: Kuchh bhi mat bolo @abhisar_sharma. Uss akhbaar ke tukde mein nano-chip laga hai jo 2000 rupaye ke note waale nano-chip…,Kuchh bhi mat bolo abhisar sharma Uss akhbaar ke tukde mein nano chip laga hai jo 2000 rupaye ke note waale nano chip,5c9c96255c284c72c0f92f19,1111200913014820864,bjp,[]
3,2019-03-28 09:38:38,0,अंतरिक्ष - स्वर्ग में😍,ॐ प्रियाशा चतुर्वेदी🇮🇳,0,"RT @__kashyap__: #JayaPrada joins BJP. So BJP's slogan is complete. Hema, Jaya aur Sushma sabki pasand.... #BJPVijaySankalp 
#NamoAgain htt…",#JayaPrada joins BJP So BJP s slogan is complete Hema Jaya aur Sushma sabki pasand #BJPVijaySankalp #NamoAgain htt,5c9c96265c284c72c0f92f1a,1111200915862614016,bjp,"['JayaPrada', 'BJPVijaySankalp', 'NamoAgain']"
4,2019-03-28 09:38:38,0,,Chowkidar SAI,0,RT @rajnathsingh: Had a wonderful interaction with BJP karyakartas at ‘Shakti Kendra Pramukh Samavesh’ in Mangaluru today. The booth level…,Had a wonderful interaction with BJP activists at Shakti Kendra Pramukh Samavesh in Mangaluru today The booth level,5c9c96275c284c72c0f92f1b,1111200916655341568,bjp,[]
5,2019-03-28 09:38:39,0,Jodhpur (Rajasthan),Chowkidar Manohar,0,"गोवा की राजनीति से आ रही है बड़ी ख़बर, ये नेता उप-मुख्यमंत्री बनाए गए https://t.co/X9uPbt3iyZ",Big news is coming from Goa s politics this leader became Deputy Chief Minister Https t co X9uPbt3iyZ,5c9c96285c284c72c0f92f1c,1111200922695319552,bjp,[]
6,2019-03-28 09:38:40,0,,Chowkidar SAI,0,RT @rajnathsingh: Leaving New Delhi for Mangalore. Shall interact with booth level BJP karyakartas there and also address a meeting with th…,Leaving New Delhi for Mangalore Shall interact with booth level BJP karyakartas there and also address a meeting with th,5c9c96295c284c72c0f92f1d,1111200924192563201,bjp,[]
7,2019-03-28 09:38:40,0,India,"Md Ateek[{(~archu,~)}]💝",0,"सुबह का गुंडा अगर
शाम को BJP में आ जाये
तो उसे गुंडा नही चौकीदार कहते है।।",Morning punk Come to BJP in the evening So he calls the goonda no watchman,5c9c962a5c284c72c0f92f1e,1111200926365188096,bjp,[]
8,2019-03-28 09:38:40,0,,Gunjan Gupta,0,RT @AunindyoC: It is amazing that journalists are passing off ex-ISRO head Madhavan Nair and ex-DRDO head VK Saraswat's views as unbiased s…,It is amazing that journalists are passing off ex ISRO head Madhavan Nair and ex DRDO head VK Saraswat s views as unbiased s,5c9c962b5c284c72c0f92f1f,1111200926931443712,bjp,[]
9,2019-03-28 09:38:40,0,"Guwahati, India",NEWS LIVE,0,"#BREAKING | #LokSabhaElections2019 | #BJP president @AmitShah arrives at Kaliabor, to address massive election rally to drum up support for AGP candidate Moni Madhab Mahanta. https://t.co/odOIMTbpML",#BREAKING #LokSabhaElections2019 #BJP president AmitShah arrives at Kaliabor to address massive election rally to drum up support for AGP candidate Moni Madhab Mahanta,5c9c962c5c284c72c0f92f20,1111200927204048896,bjp,"['BREAKING', 'LokSabhaElections2019', 'BJP']"
10,2019-03-28 09:38:41,0,"Rajasthan, India",Chandra Shekhar,0,"@skalpanap @BJP4India Using direct communication is not wrong but taking others credit is wrong.
And I am sure if modiji would have been the party leader then, then might be APJ wouldn’t be pur president. Example: only one muslim in the whole cabinet of BJP government. You can see secularism need here",skalpanap BJP4India Using direct communication is not wrong but taking others credit is wrong And I am sure if modiji would have been the party leader then then might be APJ wouldn t be pur president Example only one muslim in the whole cabinet of BJP government You can see secularism need here,5c9c962d5c284c72c0f92f21,1111200929196343298,bjp,[]
11,2019-03-28 09:38:41,0,Bhopal,Ajay Sagarkar اجے ساغرکر,0,"RT @maya206: Crowds in the front, rows and rows of empty chairs right behind them as PM Modi touches down to address the BJP’s campaign kic…",Crowds in the front rows and rows of empty chairs right behind them as PM Modi touches down to address the BJP s campaign kic,5c9c962e5c284c72c0f92f22,1111200931465580544,bjp,[]
12,2019-03-28 09:38:41,0,,abhinav goel,0,RT @Benarasiyaa: Even the staunch BJP supporters conceded that strength was low at Meerut rally where PM Modi kick started his UP campaign…,Even the staunch BJP supporters conceded that strength was low at Meerut rally where PM Modi kick started his UP campaign,5c9c962f5c284c72c0f92f23,1111200931557851136,bjp,[]
13,2019-03-28 09:38:42,0,Mumbai,Konkeydong,0,RT @INCIndia: World renowned economist &amp; social activist Jean Dreze &amp; 2 others have been arrested by the BJP govt. in Jharkhand for daring…,World renowned economist amp social activist Jean Dreze amp 2 others have been arrested by the BJP govt in Jharkhand for daring,5c9c96305c284c72c0f92f24,1111200934435135489,bjp,[]
14,2019-03-28 09:38:42,0,"Pune, Dubai",jayshree sridhar,0,RT @kashyapnandan_: BJP Hassan President has joined @INCIndia in presence of @siddaramaiah and @PCvishnunadh https://t.co/PrnACFNeDS,BJP Hassan President has joined INCIndia in presence of siddaramaiah and PCvishnunadh,5c9c96315c284c72c0f92f25,1111200934732787712,bjp,[]
15,2019-03-28 09:38:42,0,"Mumbai, India",Vinod Kumar Yadav,0,"RT @MLArajeshSP: कल व्यापार मंडल के प्रदेश अध्यक्ष संजय गुप्ता भी भाजपा ज्वाइन करने गए थें,लेकिन कार्यालय पर उन्हे भी बैठने के लिए कुर्सी न…",Tomorrow s trade division s state president Sanjay Gupta also went to join the BJP but he did not have a chair to sit on the office,5c9c96325c284c72c0f92f26,1111200935697616896,bjp,[]
16,2019-03-28 09:38:43,0,"Baleshwar, India",Chowkidar Ajit kumar Chand,0,"RT @drsanjaymayukh: Some Eminent personalities will join @BJP4India today (Thursday) 28 March, 4:00 PM at #BJP HQ, 6A Deendayal Upadhyay Ma…",Some Eminent personalities will join BJP4India today Thursday 28 March 4 00 PM at #BJP HQ 6A Deendayal Upadhyay Ma,5c9c96335c284c72c0f92f27,1111200937987567617,bjp,['BJP']
